--------------------------------------------------------------------
Target: RPI 
Date: 07/07/16
--------------------------------------------------------------------
TIME_AT_PI:2016-07-07 20:29:52 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:29:58 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:30:03 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:30:09 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:30:13 -0400 	TEMP:6.774 C 	LIGHT:2.835 	
TIME_AT_PI:2016-07-07 20:30:19 -0400 	TEMP:13.548 C 	LIGHT:0.684 	
TIME_AT_PI:2016-07-07 20:30:24 -0400 	TEMP:13.548 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:29:37 -0400 	TEMP:6.129 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:29:41 -0400 	TEMP:13.226 C 	LIGHT:3.812 	
TIME_AT_PI:2016-07-07 20:29:47 -0400 	TEMP:13.548 C 	LIGHT:3.715 	
TIME_AT_PI:2016-07-07 20:29:52 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:29:58 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:30:03 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:30:09 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:30:13 -0400 	TEMP:6.774 C 	LIGHT:2.835 	
TIME_AT_PI:2016-07-07 20:30:19 -0400 	TEMP:13.548 C 	LIGHT:0.684 	
TIME_AT_PI:2016-07-07 20:30:24 -0400 	TEMP:13.548 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:30:30 -0400 	TEMP:13.226 C 	LIGHT:2.835 	
TIME_AT_PI:2016-07-07 20:29:37 -0400 	TEMP:6.129 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:29:41 -0400 	TEMP:13.226 C 	LIGHT:3.812 	
TIME_AT_PI:2016-07-07 20:29:47 -0400 	TEMP:13.548 C 	LIGHT:3.715 	
TIME_AT_PI:2016-07-07 20:29:52 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:29:58 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:30:03 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:30:09 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:30:13 -0400 	TEMP:6.774 C 	LIGHT:2.835 	
TIME_AT_PI:2016-07-07 20:30:19 -0400 	TEMP:13.548 C 	LIGHT:0.684 	
TIME_AT_PI:2016-07-07 20:30:24 -0400 	TEMP:13.548 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:30:30 -0400 	TEMP:13.226 C 	LIGHT:2.835 	
TIME_AT_PI:2016-07-07 20:30:34 -0400 	TEMP:13.548 C 	LIGHT:3.519 	
TIME_AT_PI:2016-07-07 20:29:37 -0400 	TEMP:6.129 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:29:41 -0400 	TEMP:13.226 C 	LIGHT:3.812 	
TIME_AT_PI:2016-07-07 20:29:47 -0400 	TEMP:13.548 C 	LIGHT:3.715 	
TIME_AT_PI:2016-07-07 20:29:52 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:29:58 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:30:03 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:30:09 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:30:13 -0400 	TEMP:6.774 C 	LIGHT:2.835 	
TIME_AT_PI:2016-07-07 20:30:19 -0400 	TEMP:13.548 C 	LIGHT:0.684 	
TIME_AT_PI:2016-07-07 20:30:24 -0400 	TEMP:13.548 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:30:30 -0400 	TEMP:13.226 C 	LIGHT:2.835 	
TIME_AT_PI:2016-07-07 20:30:34 -0400 	TEMP:13.548 C 	LIGHT:3.519 	
TIME_AT_PI:2016-07-07 20:30:40 -0400 	TEMP:13.548 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:29:37 -0400 	TEMP:6.129 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:29:41 -0400 	TEMP:13.226 C 	LIGHT:3.812 	
TIME_AT_PI:2016-07-07 20:29:47 -0400 	TEMP:13.548 C 	LIGHT:3.715 	
TIME_AT_PI:2016-07-07 20:29:52 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:29:58 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:30:03 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:30:09 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:30:13 -0400 	TEMP:6.774 C 	LIGHT:2.835 	
TIME_AT_PI:2016-07-07 20:30:19 -0400 	TEMP:13.548 C 	LIGHT:0.684 	
TIME_AT_PI:2016-07-07 20:30:24 -0400 	TEMP:13.548 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:30:30 -0400 	TEMP:13.226 C 	LIGHT:2.835 	
TIME_AT_PI:2016-07-07 20:30:34 -0400 	TEMP:13.548 C 	LIGHT:3.519 	
TIME_AT_PI:2016-07-07 20:30:40 -0400 	TEMP:13.548 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:30:45 -0400 	TEMP:13.548 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:29:37 -0400 	TEMP:6.129 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:29:41 -0400 	TEMP:13.226 C 	LIGHT:3.812 	
TIME_AT_PI:2016-07-07 20:29:47 -0400 	TEMP:13.548 C 	LIGHT:3.715 	
TIME_AT_PI:2016-07-07 20:29:52 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
